Event.ID,lon,lat,ID
359,121.4273122,-4.831211408,BA055
360,122.4682845,-2.400004975,BA055
361,122.4216755,-2.300498328,BA055
362,122.2704402,-2.67211114,BA055
363,122.1395835,-2.372373741,BA055
364,123.4515258,0.785162246,BA055
365,123.8924208,-0.290921499,BA055
366,121.0170745,-7.173204967,BA055
367,120.3384985,-5.603114113,BA055
368,120.459102,-5.340571818,BA055
369,120.1793033,-4.693932043,BA055
370,120.6382681,-3.60510456,BA055
371,121.4736726,-5.64892251,BA055
372,121.1379312,-6.484770426,BA055
373,120.7245651,-5.516829446,BA055
374,121.2165398,-4.341210442,BA055
375,121.210147,-4.349873825,BA055
376,122.3944282,-1.412885083,BA055
377,121.6077747,0.575495483,BA055
378,121.1203435,-0.676591655,BA055
379,122.211046,-3.464625669,BA055
380,121.0849058,-6.319115318,BA055
381,120.5371416,-4.980056624,BA055
382,120.2281454,-5.793274152,BA055
383,119.7081188,-4.50487482,BA055
384,120.374546,-2.811474778,BA055
385,121.5422676,-5.855623791,BA055
386,122.2155691,-4.150369873,BA055
387,121.965464,-3.524108486,BA055
388,120.7543387,-6.719628022,BA055
389,121.0505179,-7.531405333,BA055
390,123.7516346,-0.385574555,BA055
391,122.5798976,2.831446771,BA055
392,121.1282201,-1.17723929,BA055
393,121.7378878,-2.869060302,BA055
394,122.0217801,-2.112339545,BA055
395,121.7404391,-1.35012707,BA055
396,120.9562483,-3.559773382,BA055
397,121.302343,-4.555831669,BA055
398,121.9141932,-2.875735109,BA055
399,121.8441395,-2.7051305,BA055
400,121.5899052,-3.460570962,BA055
401,121.6056808,-3.53956686,BA055
402,122.2725578,-1.633443587,BA055
403,121.5451021,0.501002691,BA055
404,120.6584443,-2.149616557,BA055
405,120.7208514,-2.361828087,BA055
406,121.6405873,0.393013113,BA055
407,122.2574815,-1.499560354,BA055
408,121.8340287,-2.815187313,BA055
409,122.2909164,-4.242479338,BA055
410,122.4094391,-3.923819665,BA055
411,121.6272565,-1.527088056,BA055
412,121.8044806,-0.988189476,BA055
413,121.9392321,-1.438866235,BA055
414,120.6586276,-5.539414668,BA055
415,120.1042264,-3.832801226,BA055
416,123.3569312,6.924601343,BA055
417,124.0777908,4.529082947,BA055
418,121.4750981,-4.203946713,BA055
419,121.3838979,-3.951627009,BA055
420,122.0209118,-1.847906892,BA055
421,121.7759291,-1.033610684,BA055
422,121.8862796,-0.670210654,BA055
423,122.3228931,-2.222656092,BA055
424,121.4420105,-5.335343147,BA055
425,120.6665723,-2.668345157,BA055
426,120.8985336,-1.871479827,BA055
427,121.2880333,-3.32036147,BA055
428,120.6579306,-5.653355427,BA055
429,121.0728537,-7.222061283,BA055
430,121.5764792,-5.47541268,BA055
431,120.8835203,-2.945079443,BA055
432,120.8459317,-3.13566311,BA055
433,120.79924,-3.003546063,BA055
434,120.2516899,-5.185918221,BA055
435,120.5783825,-6.529443642,BA055
436,121.4646488,-3.103597794,BA055
437,121.9293353,-5.034527467,BA055
438,121.653591,-6.225132053,BA055
439,121.308357,-4.902884964,BA055
440,122.5894221,0.482835891,BA055
441,121.6051085,4.857148754,BA055
442,120.3491447,-0.738196375,BA055
443,121.1300258,-4.227056497,BA055
444,121.4934334,-2.675903477,BA055
445,121.4998706,-2.756975002,BA055
446,121.8367951,-1.242697337,BA055
447,121.2729751,1.428524033,BA055
448,120.0395986,-4.497458861,BA055
449,119.8139293,-3.498330654,BA055
450,119.8791935,-3.247288119,BA055
451,120.9438661,-8.481143125,BA055
452,122.1182344,-2.823573122,BA055
453,120.7250899,4.510487805,BA055
454,119.8375167,-0.261748788,BA055
455,119.457672,1.811539061,BA055
456,119.2750656,0.803542923,BA055
457,120.9670111,-8.472349804,BA055
458,122.364508,-0.897102706,BA055
459,122.048737,0.935620029,BA055
460,120.6863608,-7.032041586,BA055
461,120.7777138,-7.699876335,BA055
462,121.3934785,-4.225988146,BA055
463,119.7792548,6.062121338,BA055
464,119.3853798,3.515350416,BA055
465,121.2245483,-8.407425108,BA055
466,121.1066296,-9.327260672,BA055
467,121.3278078,-10.91130676,BA055
468,121.4733871,-10.24084966,BA055
469,120.5641484,-4.346150108,BA055
470,120.4606985,-5.205806951,BA055
471,120.9443334,-8.789720787,BA055
472,121.2461499,-6.84042147,BA055
473,121.0578367,-5.603826087,BA055
474,121.1523747,-5.023249945,BA055
475,121.5110771,-8.027435315,BA055
476,121.3275295,-9.708519478,BA055
477,120.5080266,-3.094930646,BA055
478,121.2591226,3.952522045,BA055
479,121.8347697,-1.655020786,BA055
480,121.0639116,-8.97048918,BA055
481,121.138622,-9.94273324,BA055
482,121.089958,-10.72372543,BA055
483,121.3326302,-13.32112325,BA055
484,121.5457156,-11.75971253,BA055
485,121.397963,-10.69830581,BA055
486,121.8811781,-5.771872254,BA055
487,121.8493783,-5.641176739,BA055
488,121.6963547,-7.794687843,BA055
489,121.2137816,-1.661913818,BA055
490,121.4622456,2.131080335,BA055
491,122.0083785,-6.367490579,BA055
492,122.0936877,-5.413637004,BA055
493,122.330827,-9.409451775,BA055
494,122.015477,-14.51413288,BA055
495,121.1080848,0.510831237,BA055
496,121.1672652,1.956948297,BA055
497,121.3241386,-1.834812205,BA055
498,121.1890335,-5.294361591,BA055
499,121.2891693,-8.125474057,BA055
500,121.3640672,-6.966785301,BA055
501,121.2512266,-4.331589174,BA055
502,121.5945169,13.67765222,BA055
503,121.5875556,NA,BA055
504,120.9011026,-16.95288533,BA055
505,120.7541807,-14.44240052,BA055
506,121.0821894,1.845628841,BA055
507,119.9118342,NA,BA055
508,119.6165151,NA,BA055
509,121.3256542,-1.043086769,BA055
510,121.5218612,26.32681203,BA055
511,121.2387028,17.08570672,BA055
512,121.247172,15.09563858,BA055
513,122.0286391,29.40888923,BA055
514,122.1932338,25.24867604,BA055
515,121.6326174,12.61153997,BA055
516,121.8950341,4.414323869,BA055
517,121.9386148,5.198248801,BA055
518,121.8988114,5.735618882,BA055
519,120.248233,NA,BA055
520,120.5855597,NA,BA055
521,121.3959014,NA,BA055
522,121.0393415,-16.81299539,BA055
523,121.8684654,4.072969482,BA055
524,121.6098925,8.02840714,BA055
525,121.4722162,5.518142466,BA055
526,121.3700166,6.718853274,BA055
527,120.884461,-0.824159118,BA055
528,121.3033338,-7.555118682,BA055
529,122.03068,3.505415443,BA055
530,122.2726024,0.159108562,BA055
531,122.3062434,0.571976793,BA055
532,121.8169751,6.27220692,BA055
533,120.6130912,-8.505845123,BA055
534,121.0700996,-14.16383517,BA055
535,122.0565153,-1.623357518,BA055
536,121.7428209,1.751553631,BA055
537,120.7770632,-8.64034421,BA055
538,120.7637561,-8.192657885,BA055
539,120.1171602,-14.83718312,BA055
540,120.2896707,-16.13843637,BA055
541,121.145839,-7.068600855,BA055
542,121.3083315,-8.389221492,BA055
543,122.0044674,-1.934521821,BA055
544,122.7383411,-8.254207944,BA055
545,121.7241841,-16.94059085,BA055
546,120.8894796,-9.32361235,BA055
547,120.9385213,-8.682098641,BA055
548,120.7752914,-7.176230761,BA055
549,120.2601721,-10.99582327,BA055
550,120.6934324,-14.04050128,BA055
551,121.0894622,-10.75849743,BA055
552,120.7148205,-7.82128486,BA055
553,121.2218815,-4.148885948,BA055
554,121.8271977,-8.169667926,BA055
555,121.1742653,-12.3941387,BA055
556,121.069685,-11.44810788,BA055
557,120.6549623,-13.8978911,BA055
558,120.1801673,-10.62162815,BA055
559,120.9330074,-5.801447446,BA055
560,120.719389,-4.432298036,BA055
561,120.9311958,-3.134546747,BA055
562,120.8412602,-2.581368791,BA055
563,121.0329877,-1.487148902,BA055
564,121.4147354,-3.55748357,BA055
565,121.380132,-3.696258048,BA055
566,120.8375396,-0.790727312,BA055
567,120.7016566,-1.490003258,BA055
568,120.766243,-1.807110594,BA055
569,121.5063364,1.869414196,BA055
570,122.4760804,-2.911818842,BA055
571,121.516802,-7.604314035,BA055
572,120.9809671,-4.89396261,BA055
573,121.3415293,-3.118643033,BA055
574,121.198334,-2.418223736,BA055
575,121.9890428,1.198965723,BA055
576,121.6488478,2.671846456,BA055
577,121.7570819,3.092537925,BA055
578,121.7345611,3.136489422,BA055
579,121.8208508,3.44706433,BA055
580,120.5012504,8.729747629,BA055
581,120.5781203,8.914317665,BA055
582,120.6638683,8.469756403,BA055
583,120.4417255,7.509871131,BA055
584,120.4409951,7.416131067,BA055
585,120.2198962,6.485026508,BA055
586,120.8015254,4.193693424,BA055
587,121.3753164,6.292060501,BA055
588,120.8849924,8.004133164,BA055
589,120.7722931,7.504447927,BA055
590,120.3955728,8.749944138,BA055
591,120.2964718,8.304968065,BA055
592,119.9146101,9.525318938,BA055
593,120.0270549,9.802229911,BA055
594,120.479713,8.17297199,BA055
595,119.6057111,5.099472327,BA055
596,119.3302798,5.980506149,BA055
597,120.3346344,9.247677786,BA055
598,120.3687044,9.043828637,BA055
599,119.842856,7.247952511,BA055
600,116.2966323,17.96007717,BA055
601,116.4282359,18.17678001,BA055
602,114.5416389,23.02786027,BA055
603,115.3473579,24.84210099,BA055
604,116.2183264,22.51946678,BA055
605,116.2085124,22.32734811,BA055
606,116.1118647,22.40372248,BA055
607,117.665785,25.93580046,BA055
608,118.064088,24.84576668,BA055
609,119.621258,28.14368454,BA055
610,121.656198,23.40288272,BA055
611,122.5436898,25.28583731,BA055
612,122.094336,26.11907238,BA055
613,122.1434119,26.06288247,BA055
614,124.2473621,21.10262533,BA055
615,122.6351158,16.98581871,BA055
616,122.004802,18.44801725,BA055
617,124.0250153,23.09364509,BA055
618,122.9063138,25.40436483,BA055
619,122.6172822,24.63835922,BA055
620,123.966418,21.50965155,BA055
621,121.8973416,16.4747784,BA055
622,121.1122531,18.27129007,BA055
623,123.4963717,23.55671406,BA055
624,122.7145428,25.07407531,BA055
625,121.4978025,22.3623448,BA055
626,121.069213,23.16216132,BA055
627,121.6035836,24.16156978,BA055
628,122.4427657,22.2738715,BA055
629,123.8219866,25.01981721,BA055
630,122.3144718,27.8250477,BA055
631,123.3281507,29.55421431,BA055
632,123.2842006,29.50444912,BA055
633,124.2593957,31.07383803,BA055
634,124.556111,30.44076309,BA055
635,124.2012126,29.70289405,BA055
636,124.7844053,28.55527237,BA055
637,122.2744699,23.71172256,BA055
638,122.673313,22.81491828,BA055
639,123.6579705,24.65438303,BA055
640,121.9267519,27.76384254,BA055
641,122.6811957,28.98267554,BA055
642,123.4445701,27.54107126,BA055
643,122.3189118,25.39164464,BA055
644,122.6103918,24.75316976,BA055
645,122.812697,25.04062368,BA055
646,122.5343558,25.46544863,BA055
647,123.1417427,26.47669722,BA055
648,122.3414732,27.79259641,BA055
649,125.2412272,32.40416656,BA055
650,125.9604737,31.20181114,BA055
651,126.5738229,32.05972537,BA055
652,126.9960522,31.32299245,BA055
653,17.75108721,-72.11676679,BA055
654,133.8769558,37.76426603,BA055
655,136.3943432,34.35007764,BA055
656,141.1575913,40.27265127,BA055
657,140.8698072,40.51534075,BA055
658,141.4675998,41.09492213,BA055
659,141.8575578,40.59167122,BA055
660,142.0582019,40.73807616,BA055
661,84.64771425,63.17782286,BA055
662,144.4642432,46.89748306,BA055
663,148.2594903,49.68253193,BA055
664,147.0328915,50.44648106,BA055
665,153.1679963,53.92548891,BA055
666,151.7315945,54.57400834,BA055
667,154.6426624,55.82256348,BA055
668,153.6088324,56.19832391,BA055
669,-171.5466012,62.76572595,BA055
670,156.4306417,59.47002201,BA055
671,155.702603,59.5784564,BA055
672,167.1521031,61.61820935,BA055
673,171.7576302,60.78996477,BA055
674,174.3135797,61.06853432,BA055
675,174.5176178,61.04712404,BA055
676,177.2941613,61.4406611,BA055
677,177.9437737,61.36680376,BA055
678,-179.7339633,61.65903366,BA055
679,177.1680578,61.97860011,BA055
680,176.3551397,61.91942681,BA055
681,178.2540668,61.74524873,BA055
682,175.9931606,61.49622849,BA055
