,X,Twilight,Rise,Deleted,Marker,Inserted,Twilight3,Marker3
231,231,31/10/2016 10:08,FALSE,FALSE,0,FALSE,31/10/2016 10:08,0
232,232,31/10/2016 21:18,TRUE,FALSE,0,FALSE,31/10/2016 21:18,0
233,233,01/11/2016 10:06,FALSE,FALSE,0,FALSE,01/11/2016 10:06,0
234,234,01/11/2016 21:26,TRUE,FALSE,0,FALSE,01/11/2016 21:26,0
235,235,02/11/2016 10:17,FALSE,FALSE,0,FALSE,02/11/2016 10:17,0
236,236,02/11/2016 21:15,TRUE,FALSE,0,FALSE,02/11/2016 21:15,0
237,237,03/11/2016 09:53,FALSE,FALSE,0,FALSE,03/11/2016 09:53,0
238,238,03/11/2016 21:25,TRUE,FALSE,0,FALSE,03/11/2016 21:25,0
239,239,04/11/2016 10:17,FALSE,FALSE,0,FALSE,04/11/2016 10:17,0
240,240,04/11/2016 21:26,TRUE,FALSE,0,FALSE,04/11/2016 21:26,0
241,241,05/11/2016 10:12,FALSE,FALSE,0,FALSE,05/11/2016 10:12,0
242,242,05/11/2016 21:30,TRUE,FALSE,0,FALSE,05/11/2016 21:30,0
243,243,06/11/2016 10:15,FALSE,FALSE,0,FALSE,06/11/2016 10:15,0
244,244,06/11/2016 21:30,TRUE,FALSE,0,FALSE,06/11/2016 21:30,0
245,245,07/11/2016 10:14,FALSE,FALSE,0,FALSE,07/11/2016 10:14,0
246,246,07/11/2016 21:18,TRUE,FALSE,0,FALSE,07/11/2016 21:18,0
247,247,08/11/2016 10:19,FALSE,FALSE,0,FALSE,08/11/2016 10:19,0
248,248,08/11/2016 21:20,TRUE,FALSE,0,FALSE,08/11/2016 21:20,0
249,249,09/11/2016 10:17,FALSE,FALSE,0,FALSE,09/11/2016 10:17,0
250,250,09/11/2016 21:28,TRUE,FALSE,0,FALSE,09/11/2016 21:28,0
251,251,10/11/2016 10:17,FALSE,FALSE,0,FALSE,10/11/2016 10:17,0
252,252,10/11/2016 21:18,TRUE,FALSE,0,FALSE,10/11/2016 21:18,0
253,253,11/11/2016 10:19,FALSE,FALSE,0,FALSE,11/11/2016 10:19,0
254,254,11/11/2016 21:22,TRUE,FALSE,0,FALSE,11/11/2016 21:22,0
255,255,12/11/2016 10:21,FALSE,FALSE,0,FALSE,12/11/2016 10:21,0
256,256,12/11/2016 21:22,TRUE,FALSE,0,FALSE,12/11/2016 21:22,0
257,257,13/11/2016 10:13,FALSE,FALSE,0,FALSE,13/11/2016 10:13,0
258,258,13/11/2016 21:22,TRUE,FALSE,0,FALSE,13/11/2016 21:22,0
259,259,14/11/2016 10:19,FALSE,FALSE,0,FALSE,14/11/2016 10:19,0
260,260,14/11/2016 21:25,TRUE,FALSE,0,FALSE,14/11/2016 21:25,0
261,261,15/11/2016 10:21,FALSE,FALSE,0,FALSE,15/11/2016 10:21,0
262,262,15/11/2016 21:18,TRUE,FALSE,0,FALSE,15/11/2016 21:18,0
263,263,16/11/2016 10:22,FALSE,FALSE,0,FALSE,16/11/2016 10:22,0
264,264,16/11/2016 21:22,TRUE,FALSE,0,FALSE,16/11/2016 21:22,0
265,265,17/11/2016 10:07,FALSE,FALSE,0,FALSE,17/11/2016 10:07,0
266,266,17/11/2016 21:19,TRUE,FALSE,0,FALSE,17/11/2016 21:19,0
267,267,18/11/2016 10:14,FALSE,FALSE,0,FALSE,18/11/2016 10:14,0
268,268,18/11/2016 21:19,TRUE,FALSE,0,FALSE,18/11/2016 21:19,0
269,269,19/11/2016 10:21,FALSE,FALSE,0,FALSE,19/11/2016 10:21,0
270,270,19/11/2016 21:23,TRUE,FALSE,0,FALSE,19/11/2016 21:23,0
271,271,20/11/2016 10:26,FALSE,FALSE,0,FALSE,20/11/2016 10:26,0
272,272,20/11/2016 21:32,TRUE,FALSE,0,FALSE,20/11/2016 21:32,0
273,273,21/11/2016 10:24,FALSE,FALSE,0,FALSE,21/11/2016 10:24,0
274,274,21/11/2016 21:25,TRUE,FALSE,0,FALSE,21/11/2016 21:25,0
275,275,22/11/2016 10:22,FALSE,FALSE,0,FALSE,22/11/2016 10:22,0
276,276,22/11/2016 21:19,TRUE,FALSE,0,FALSE,22/11/2016 21:19,0
277,277,23/11/2016 10:23,FALSE,FALSE,0,FALSE,23/11/2016 10:23,0
278,278,23/11/2016 21:16,TRUE,FALSE,0,FALSE,23/11/2016 21:16,0
279,279,24/11/2016 10:19,FALSE,FALSE,0,FALSE,24/11/2016 10:19,0
280,280,24/11/2016 21:24,TRUE,FALSE,0,FALSE,24/11/2016 21:24,0
281,281,25/11/2016 10:19,FALSE,FALSE,0,FALSE,25/11/2016 10:19,0
282,282,25/11/2016 21:15,TRUE,FALSE,0,FALSE,25/11/2016 21:15,0
